systime,op_mode,rpm,temp,pitch_angle,motor_dir,motor_dc
202425,0,-2.85,23.01,90.00,0,0
203241,0,-5.70,22.95,90.00,0,0
204068,0,-4.48,22.92,90.00,0,0
204906,0,-2.85,22.98,90.00,0,0
205752,0,0.81,22.99,90.00,0,0
206635,0,1.63,22.95,90.00,0,0
207535,0,2.03,22.98,90.00,0,0
208447,0,2.85,22.92,90.00,0,0
209379,0,4.88,22.97,90.00,0,0
210324,0,4.07,22.98,90.00,0,0
211274,0,4.07,22.97,90.00,0,0
212240,0,2.44,22.90,90.00,0,0
213220,0,1.63,22.80,90.00,0,0
214213,0,-0.81,22.92,90.00,0,0
218163,0,1.63,23.21,90.00,0,0
219035,0,-3.26,23.03,90.00,0,0
219920,0,-2.03,22.99,90.00,0,0
220821,0,-3.26,23.03,90.00,0,0
221735,0,-0.41,23.07,90.00,0,0
222656,0,0.41,23.05,90.00,0,0
223588,0,2.44,22.99,90.00,0,0
224533,0,2.85,22.95,90.00,0,0
225511,0,0.00,23.05,90.00,0,0
226520,0,3.26,22.97,90.00,0,0
227542,0,2.44,23.02,90.00,0,0
228568,0,-4.07,23.17,90.00,0,0
229606,0,-4.07,23.07,90.00,0,0
230657,0,0.00,23.11,90.00,0,0
231718,0,2.03,23.25,90.00,0,0
232786,0,0.00,23.17,90.00,0,0
236822,0,4.07,23.02,90.00,0,0
237773,0,1.22,23.06,90.00,0,0
238728,0,0.00,23.03,90.00,0,0
239700,0,-0.81,23.03,90.00,0,0
240687,0,4.48,23.07,90.00,0,0
241685,0,8.54,23.10,90.00,0,0
242696,0,6.51,23.20,90.00,0,0
243719,0,2.85,23.10,90.00,0,0
244778,0,2.85,23.06,90.00,0,0
245855,0,-2.44,23.24,90.00,0,0
246948,0,0.41,23.21,90.00,0,0
248059,0,1.22,23.10,90.00,0,0
249174,0,1.63,23.17,90.00,0,0
250300,0,-2.44,23.26,90.00,0,0
251432,0,0.81,23.17,90.00,0,0
252570,0,-1.22,23.13,90.00,0,0
256647,0,-1.63,23.39,90.00,0,0
257673,0,-4.48,23.10,90.00,0,0
258716,0,0.00,23.09,90.00,0,0
259771,0,1.22,23.11,90.00,0,0
260838,0,2.85,23.07,90.00,0,0
261918,0,6.10,23.13,90.00,0,0
263016,0,0.81,23.20,90.00,0,0
264121,0,0.41,23.11,90.00,0,0
265245,0,2.85,23.02,90.00,0,0
266403,0,2.44,23.20,90.00,0,0
267576,0,-1.22,23.28,90.00,0,0
268767,0,-3.66,23.18,90.00,0,0
269969,0,-5.29,23.16,90.00,0,0
271184,0,-3.26,23.21,90.00,0,0
272404,0,0.41,23.30,90.00,0,0
273625,0,-2.85,23.36,90.00,0,0
277800,0,1.63,23.14,90.00,0,0
278866,0,1.63,23.09,90.00,0,0
279968,0,-3.26,23.10,90.00,0,0
